,original content,content
978,近期，Trend Micro发现了一个激进的恶意软件传播活动，这一活动利用多种技术分发LokiBot。攻击者使用邮件等方式传播作为诱饵的恶意文档，诱导受害者点击打开文档，从而实施交付机制，完成最终恶意载荷LokiBot的部署。攻击者为不同格式的文档设计了不同的交付机制，这些文档格式包括：PDF（使用开放操作对象）、DOCX（使用框架机制）、RTF（利用CVE-2017-11882漏洞）、Internet Explorer（利用CVE-2016-0189漏洞）、Excel（使用嵌入式OLE对象和Word文档）等。这次活动表明，LokiBot及其变体仍在广泛使用，并仍在使用社会工程和漏洞开发等旧的可靠技术作为交付方法。漏洞相关01XStream多个高危漏洞安全风险通,最近，趋势科技公司发现了一种利用多个技术进行传播的恶意软件活动，这种活动被称为LokiBot。攻击者通过发送包含恶意文档的电子邮件，引诱目标用户打开文档，从而实现了对目标系统的入侵。攻击者利用了CVE-2017-11882漏洞，对不同格式的文档进行了攻击，包括PDF、DOCX、RTF和Internet Explorer等。最近，一位用户在社交媒体上分享了他们使用LokiBot的体验，并表示将继续使用该机器人进行实验。同时，他还谈到了之前使用的社会工程和漏洞开发方法的一些不足之处。无法解释为独立事件，但可以提供一份有关安全漏洞的简要介绍。
979,近日，奇安信 CERT 监测到XStream官方发布漏洞公告，公开了多个XStream高危漏洞的详细信息。其中CVE-2021-39141、CVE-2021-39144、CVE-2021-39145、CVE-2021-39146等漏洞允许攻击者通过构造特制的XML数据绕过XStream黑名单限制从而在目标机器上执行任意代码。鉴于此类漏洞危害较大，且细节和POC已公开，建议客户尽快自查XStream版本，升级到安全版本以避免受此影响。02OpenSSL发布安全更新，修复产品中的2个安全漏,最近，奇安信 CERT 发布了一篇关于 XStream 漏洞的公告，其中详细介绍了多个高危漏洞的情况。由于CVE-2021-3914、CVE-2021-3914、CVE-2021-3914和CVE-2021-3914等漏洞，攻击者可以利用构造特制的XML数据绕过XStream黑名单，并在目标机器上执行任意代码。由于安全漏洞问题严重，已经公开披露，建议客户尽快升级XStream版本，以避免受到该问题的影响。最近，OpenSSL发布了一篇安全更新，对之前发现的两个安全漏洞进行了修复。
980,OpenSSL于8月24日发布安全更新，修复其产品中的2个安全漏洞。其中最为严重的是缓冲区溢出漏洞，追踪为CVE-2021-3711，攻击者利用其可导致应用程序崩溃。该漏洞与SM2加密数据的解密过程相关，可用来更改堆中的数据（即凭据）。此次修复的另一个漏洞追踪为CVE-2021-3712，攻击者可以利用该漏洞触发拒绝服务(DoS)，还可能导致机密信息泄露，例如私钥或敏感明文。其他01全球高级持续性威胁（APT）2021年中报,近日，OpenSSL发布了一则安全更新，对之前发现的两个安全漏洞进行了修复。最近发现的缓冲区溢出漏洞的编号是CVE-2021-3711，是由一名攻击者利用的。该漏洞对应用程序造成了严重的破坏，导致应用程序崩溃。该漏洞与SM2加密数据有关，可以修改堆中的数据。最近发现了一个名为CVE-2021-3712的漏洞，该漏洞可能导致攻击者利用该漏洞发起分布式拒绝服务攻击（DoS），甚至可能泄露机密信息，如私钥或敏感数据。在2021年，全球范围内持续存在安全威胁，尤其是来自网络攻击的威胁。
981,2021年上半年以来，被曝光的APT组织使用的在野0day漏洞数量陡然剧增，出现的频次之高历年罕见，且受影响的平台均为具有垄断地位市场份额的系统和产品。包括微软公司操作系统、Windows Defender反病毒套件、微软Exchange，主流浏览器产品Chrome、Firefox，主流手机操作系统Android、IOS，以及PDF阅读器Adobe Reader等等。除却在野0day漏洞在网络世界中大放异彩外，国际上的冲突也导致网络世界战争不断，如乌克兰东部顿巴斯地区冲突加剧导致幕后势力双方通过网络攻击窃取情报，中东地区就核问题爆发激烈网络战争等等。本报告按照惯例，总结了2021年上半年的主要攻击活动，包括新的 APT 组织和地缘 APT 组织的活动变化趋势，以及上半年全球 APT 事件所呈现的趋势。报告详情可点击阅读全文下载PDF版查看~,最近几个月，一直致力于推广的APT组织暴露了多个安全漏洞，其中包括最近发现的野外0day漏洞，这些问题已经影响了数千个系统和产品，对公司的声誉造成了重大影响。最近，微软公司发布了一系列产品，其中包括了针对Windows操作系统的支持、对Chrome和Firefox浏览器的支持，以及PDF阅读器等。近年来，网络世界发生了一系列令人瞩目的现象，其中最引人注目的是乌克兰东部顿巴斯地区发生的冲突，由于背后势力的争夺，双方在网络上展开了激烈的对抗。同时，中东地区爆发的核问题也引发了全球范围内的网络战争。今年上半年，全球网络安全形势继续受到关注，其中以apt攻击最为突出，对apt组织的变化和地缘apt组织的活动进行了详细阐述。如何在短时间内了解一篇论文的内容？可以访问PDF文件。
982,趋势科技研究人员近日跟踪魔罗桫组织攻击活动时，发现该组织利用Pegasus间谍软件相关诱饵针对巴基斯坦武装部队。Pegasus间谍软件为以色列公司NSO Group开发，曾被用于监视全球11个国家的政治活动人员。此次活动始于鱼叉式网络钓鱼邮件，邮件据称是巴基斯坦军方关于Pegasus间谍软件的警告，其中包含指向恶意加密Word文档的cutt.ly链接和解密密码。目标用户启用文档包含的恶意宏代码后，恶意代码最终将在本机释放窃密程序并窃取扩展名为TXT、PDF、PNG、JPG、DOC、XLS、XLM、RTF、PPT等文件及图像。研究人员还发现魔罗桫组织使用不同诱饵传播相同有效载荷的钓鱼活动，攻击者在此活动中冒充巴基斯坦国防住房管理局，同样针对军事相关人员。此外，研究人员此前曾分析过摩诃草和魔罗桫组织之间的多个联系。在某些情况下，魔罗桫组织会从归因于摩诃草组织的域名mailerservice.发送鱼叉式网络钓鱼电子邮件。02APT37利用浏览器漏洞针对韩国网络媒,最近，趋势科技的研究团队发现，巴基斯坦军队正使用名为Pegasus的间谍软件进行攻击活动，这些软件可能是通过向目标计算机发送垃圾邮件来实现的。以色列公司NSO Group开发的一款名为Pegasus的软件，可以实时追踪全球11个国家的政治活动人员。最近，巴基斯坦军方发布了一封关于Pegasus间谍软件的警告，提醒人们警惕使用。邮件中还包含了一篇关于恶意加密Word文档的cutt.ly链接和解密密码。一旦用户接收到包含恶意宏的文档，其中的恶意代码将会被激活并执行，同时还会窃取名为TXT、PDF、PNG、JPG、DOC、XLS、XLM和RTF的文件和图像。最近，一名研究人员发现了一个名为魔罗桫的网站，该网站通过发布虚假的巴基斯坦国防住房管理局信息来引诱军事相关人员进入其钓鱼活动。在之前的研究中，研究人员已经探讨了摩诃草和魔罗桫组织之间的联系。在某些情况下，摩诃草组织的域名为mailer.net，会向收件人发送鱼叉式的网络钓鱼邮件。韩国网络媒体最近发生了一宗事件，是因为一名学生利用了浏览器漏洞，成功地向网站发送了请求。
983,CVE-2020-1380是IE11上jscript9引擎的一个UAF漏洞，该漏洞最早在2020年5月由卡巴斯基披露。CVE-2021-26411是一个针对Internet Explorer和MicrosoftEdge 旧版本的漏洞，该漏洞利用方式和1380较为类似。近日，国外Volexity披露了东亚地区这两款漏洞利用的攻击事件并将其命名为SWC活动。Volexity详细分析了两个漏洞的poc、SVG标签、初始载荷、C2指令、URL之后将两个漏洞的利用都归类到了APT37上，并且将该攻击事件和BLUELIGHT攻击事件关联起来，在BLUELIGHT事件中，攻击者会利用jquery的子域来托管恶意软件，托管的恶意软件最终会加载CobaltStrike实现对受害者主机的控制。03Siamesekitten的新伊朗间谍活,最近一份关于IE11的JavaScript引擎的漏洞报告是在2020年5月发布的，其中指出了一个名为CVE-2020-1380的漏洞。这个漏洞对卡巴斯基的JavaScript引擎造成了影响。最近发现的Internet Explorer和Microsoft Edge旧版本的一个安全漏洞被称为“CVE-2021-26411”，因为它利用了类似1380号漏洞的方式。最近，一家名为Volexity的公司发布了一篇博客，讨论了东亚地区的一起网络攻击事件，并将其称为SWC攻击。最近，研究人员发现了一个存在两个漏洞的ApT37标签，分别是poc和SVG标签。通过进一步调查，他们发现攻击者利用了jQuery的子域来托管恶意软件，最终成功地将控制权交给了CobaltStrike。最近，一名学生带着新买的一支伊朗间谍来到学校。
984,ClearSky的研究人员在8月17日披露了伊朗APT组织Siamesekitten针对以色列的间谍活动。ClearSky于2021年5月初检测到该团伙针对以色列的一家IT公司的第一次攻击，并在5月和7月又检测到了多次攻击。此次活动中，攻击者伪装成ChipPc和Software AG等知名公司的人力资源部员工，以工作机会诱使目标通过钓鱼页面下载MsNpENg后门以及远程访问木马DanBot。此前，Siamesekitten使用的后门为用C++编写的Milan后门。Milan恶意软件收集有关机器的信息，例如机器名称、用户的注册信息等等，内容被编码并保存在后缀为MDF的文件中。在5月到7月期间，该组织使用了用.NET编写的Shark新变体替代了Milan后门。Milan恶意软件会激活一个名为“redus”的功能，此函数生成加密的G-ZIP文件，具有在恶意软件中编码的预设配置。这个配置文件包含两个C&C服务器和各种恶意软件功能。Siamesekitten组织在近期的攻击活动中，将社会工程技术与更新的恶意软件变体相结合，从而能够远程访问受感染的机器。此次攻击主要针对IT和通信公司，因此ClearSky推测攻击者可能旨在对他们的客户发起供应链攻击。04APT-C-54(Gamaredon)近期技战术总,最近，伊朗的一支名为Siamesekitten的团队被指控在针对以色列的活动上进行间谍活动，而该公司则表示这是对他们的研究工作的正面评价。以色列的一家公司于2021年5月初对目标进行攻击，之后还多次遭受攻击，直到7月。 clearsky公司在5月初成功探测到该团伙对以色列公司的第一次攻击，并在接下来的两个月内多次遭受攻击。最近，一位名为Chip的😉员工来自一家名为Software AG的知名公司，他向目标人士提供了一个工作机会，邀请他们加入公司的人力资源部门，并观看一份有关MsNg和远程访问木马DanBot的介绍视频。之前，苏米 在这种情况下使用的是由C++编写的milan后门。在米尔纳的一个项目中，有一批恶意软件正在收集有关机器的信息，包括机器名称和用户的注册信息，并将这些信息编码为后缀为MDF的文件。五月到七月份，该组织换了老板，换了计算机编程语言，使用了.NET。在这种情况下，当米兰的一篇论文被发表时，它将激活名为“redus”的函数，该函数会生成加密的G-ZIP文件，而预先设定了在米兰的恶意软件中编码的配置。该配置文件中包含两个支持计算机互相通信的C&C服务器，以及大量的恶意软件。最近，一家名为Siamesekitten的公司举办了一场活动，期间向观众展示了如何利用社会工程学😉技术，通过网络攻击感染了其他机器。最近发生的攻击事件可能是对那些与IT和通信公司相关的客户的攻击，因为这些公司正在面临越来越多的网络安全挑战。最近，一位学生带着他学过的编程知识前往参加了一场编程竞赛。
985,Gamaredon组织一直以来在东欧地区保持着较为高调的活跃姿态，其下属资产和攻击载荷更新频繁，且多种多样。在众多APT组织中，Gamaredon也属于比较另类的一种，在其他组织小心翼翼的进行攻击活动时，Gamaredon似乎丝毫不在意暴露自身的地域背景和攻击意图，其使用的攻击载荷也被广泛的捕获和分析，其下属网络资产数量也非常丰富。如果说其他组织的攻击武器是“精准而优雅”，那么Gamaredon的攻击武器绝对算得上“粗犷且数量庞大”，即使是混淆的手段，也是一种非常暴力的策略：插入大量垃圾变量和垃圾逻辑。其采用的规避查杀的方法是频繁的修改样本特征，针对同类载荷，通过不同的编译参数或修改代码顺序的方式来最大程度降低被特征规则命中的可能性，与此同时，大量初始阶段的恶意脚本都在本地生成和释放，这使得大量脚本文件根本不能作为恶意指标使用，因为每个受害者机器上的样本都不同。因此，分析人员需要花费一定时间精力跟踪和调查相关活动，并对新出现的样本进行分析和归纳。05APT29—觊觎全球情报的国家级黑客组织（下,"近几年来，随着 gamaredon 的扩张，其下属公司的资产和攻击负载不断增加，呈现出了多样化的趋势。releasuring to the attack on Gamaredon's network, the organization is undergoing a major shift in the attack pattern, as it has been exposed to various地域 attacks from the same network.最近，Gamaredon组织了一场攻击活动，其武器特点为粗狂且数量庞大，甚至可能存在混淆的策略。针对类似😉的恶意脚本，通过调整编译参数或修改代码顺序等方法可以降低被检测的可能性，从而减少生成的恶意脚本数量。不过，每个受害机器上的样本都是独特的，不会对其他机器上的样本产生影响。为了深入了解相关活动，需要对活动进行跟踪和调查，并对新出现的样本进行分析和归纳。当今数字化时代，信息安全问题日益突出，而网络安全问题更是不容忽视。在这个背景下，一批来自世界各地的网络安全专家聚集在一起，共同探讨如何应对当前网络安全面临的挑战。"
986,APT29自2008年开始活跃，至今已活跃13年时间，与同属俄罗斯政府背景的Turla组织处于同一历史舞台，其凭借长时间的攻击战术演进以及网络武器库积累在国际情报窃取领域中处于较高地位。本文将分析该组织TTPs如下：1.早期The Dukes系列工具集会进行落地环境检测，包括杀软产品、虚拟环境、安全工具、异常PC用户名称、异常文件名等；2.APT29的Sunburst后门具有上线延迟，即在初始化之后进行12-14天的休眠；3.The Dukes系列工具集中多款组件均会使用Twitter社交平台托管攻击C&C地址；4.APT29组件中RegDuke通过图像隐写术进行攻击指令或攻击载荷下发；5.APT29的WellMess特马会通过HTTP header的Cookie字段传输C&C指令，加密方式选用RC6+Base64+垃圾数据混淆的组合方式进行加密编码。攻击行动或事件情报01Indra：伊朗铁路基础设施网络攻击活动的幕后黑,近13年来，俄罗斯政府一直致力于加强攻击性，对土耳其组织的反击行动也不甘示弱，这些行动都在国际情报领域产生了深远影响。本文将讨论组织TTPs的情况，包括早期对Dukes系列工具集的落地环境进行检测，以及APT29的Sunburst后门的上线延迟。此外，多个组件将使用Twitter的社交平台来托管攻击C&C地址，而APT29组件中的RegDuke可以通过图像隐写术进行攻击或指令的下达。最近伊朗发生了一起针对铁路基础设施的攻击事件，对此深感关注。
987,近期Check Point Research发现，Indra对伊朗铁路和道路与城市发展部系统进行了有针对性的网络攻击，被攻击的相关网站在网络中断后停止了服务。攻击者模仿AnalyzeSystemWindows电源效率诊断报告工具，通过组策略将计划任务从AD推送到所有机器。在第一阶段，setup.bat检查机器的主机名并判断是否继续执行。第二阶段，setup.bat将恶意文件env.cab下载到机器上，同时启动update.bat解压并运行其他工具。update.bat使用密码hackemall提取下一阶段cache.bat、msrun.bat和bcd.bat。在第三阶段，cache.bat断开机器与所有网络的连接并执行反AV检查，bcd.bat破坏引导过程，msrun.bat释放主要恶意载荷msapp.exe。第四阶段，msapp.exe使受害机器停止服务，然后mssetup.exe通过阻止来自键盘和鼠标设备的输入来阻止用户与机器交互。02Aggah组织针对亚洲制造业的鱼叉式钓鱼活,最近，印度政府对伊朗铁路和城市发展部系统进行了网络攻击，导致相关网站在网络中断后停止了服务。攻击者可以利用针对系统电源的策略，将计划任务推送至所有机器。首先，需要编写一个名为setup.bat的批处理程序，该程序将检查主机的名称并决定是否继续执行。要在机器上安装恶意环境，可以运行名为 update.bat 的程序，并在其中解压缩环境文件 env.cab。当前正在使用的是旧版本的Windows系统，不会自动安装msrun.bat和batchjob，但可以运行其他命令，如msrun.bat和update.bat。在这种情况下，当机器与所有网络连接都处于断开状态时，bcd.bat会触发反AV检查，同时msrun.bat会释放出主要的恶意载荷msapp.exe。由于msapp.exe的介入，机器将停止运行，并且禁止用户通过键盘和鼠标设备与机器进行交互。最近，一支来自新加坡的团队进行了名为“亚洲制造业的渔叉挑战”的活动，旨在推广亚洲制造业的发展。
988,Anomali的研究团队发现了始于2021年7月上旬的鱼叉式网络钓鱼活动，针对整个亚洲的制造业。Aggah最早于2019年3月由Unit 42的研究人员发现，主要针对阿拉伯联合酋长国(UAE)的组织。此次活动中，攻击者伪装成英国FoodHub.co.uk发送钓鱼邮件，诱使用户登录已被入侵的mail.hoteloscar.in/images网站，并分发Warzone RAT。据分析，Aggah最新的攻击目标包括中国台湾的制造公司Fon-star和工程公司FomoTech，以及韩国的电力公司现代电气。恶意代码情报01Medusa银行木马利用多个社交媒体存储C2地,最近，一支来自印度的团队成功地进行了针对整个亚洲制造业的鱼叉式网络钓鱼活动。阿拉伯联合酋长国（UAE）的 Units 42 的研究人员在 2019 年 3 月发布了一篇论文，对 UAE 的组织结构进行了深入研究。最近，一名攻击者通过伪装成英国食品网站FoodHub.co.uk的邮件，成功入侵了网站的账户，并分享了Warzone RAT。最近，一家来自中国的制造公司Fon-star和一家韩国的工程公司FomoTech接到了来自两个国家的主机呼吁，分别是台湾的制造公司和韩国的电力公司。最近，Medusa银行的一支团队成功入侵了他们的社交媒体账户，发布了一系列恶意代码。
989,Medusa是一种银行木马，于2020年7月开始出现，但在2020年9月之后开始消失。自2021年5月以来，Revelock研究人员检测到该家族的几个新样本，这些样本保留了木马的主要功能。与大多数Android银行木马程序一样，除了银行凭据外，Medusa还从受感染设备中获取其他数据，如窃取短信、联系人列表、键盘记录。Medusa利用多个社交网络（例如Telegram、ICQ或Twitter）来存储木马回连的控制服务器地址。为了窃取凭据，其会检测合法应用的打开操作，并将钓鱼网页覆盖在合法应用上。目前，分发恶意软件的方式还未知，不过相关特征显示，攻击者可能是仿冒合法应用程序，通过虚假网页进行分发。此外，在受影响的银行实体中只观察到土耳其银行实体。02LockBit勒索软件组织携Lockbit2.0卷土重,近两年的时间里，一家银行发生了一起木马攻击事件，涉及到了她的名字——Medusa。最近几个月，Revelock的研究团队对家族进行了重大调整，并成功研发出一批新的样本，这些样本保留了木马的主要功能。最近，Medusa银行发现了很多Android应用程序存在安全漏洞，并发出警告，提醒用户更新。同时，Medusa还从这些感染的设备中收集了其他数据，如短信、联系人列表和键盘记录。已在多个社交媒体平台上配置了控制服务器地址，可以实现对木马的远程控制。攻击者利用😉的方式，对网站的合法访问进行了拦截，并覆盖了钓鱼页面。最近，一份来自😉的电子邮件提醒了人们，提醒他们正在观察到攻击者通过虚假网站向用户推送恶意软件的情况。近期的确，土耳其银行公司成为了那些受到影响的银行实体名单中的一员。最近，一家名为Lockbit.2.0的公司推出了名为Lockbit.2.0的加密软件，引起了人们的关注。
990,勒索软件集团LockBit于6月随LockBit 2.0重新出现。在7月1日至8月15日期间，Trend Micro检测到LockBit 2.0的攻击活动发生在智利、意大利、台湾和英国等地。此次活动中该集团的目标公司数量有所增加，并在LockBit 2.0中纳入了双重勒索功能。LockBit 2.0从目标公司内部招募“内应”，从而通过获取有效凭证和访问公司网络的方式对目标实现入侵和过滤。进入系统后，LockBit 2.0首先找到并进入目标域控制器，然后创建新的组策略，将勒索软件二进制文件分发和执行到网络中的每台Windows机器。其中LockBIT_7D68A5BFD028A31F.exe是主要勒索软件模块，它将.lockbit附加到每个加密文件。一旦LockBit 2.0完成设备加密，它会释放赎金通知Restore-My-Files.txt到所有加密目录，并强调如不支付赎金，文件还有被发布到网络的风险。此外，LockBit 2.0还包含将桌面壁纸更改为勒索说明图像的功能。03新版Neurevt木马针对墨西哥金融机构的用,LockBit公司于6月发布了名为LockBit 2.0的软件产品。近一个月来，智利、意大利、台湾和英国都遭受了LockBit 2.0攻击的影响。在当前活动中，该集团的目标公司数量增加了很多，同时在LockBit 2.0中还加入了两项强制性勒索功能。最近，一家公司内部招募了名为“LockBit 2.0”的网络安全专家，他们通过利用公司的网络进行入侵和过滤来保护目标网络的安全。进入系统后，LockBit 2.0 会首先找到目标域控制器，并创建新的组策略，将勒索软件的二进制文件传送到每个 Windows 机器上执行。Lockbit的攻击目标为Lockbit_7D68A5BFD028A31F，对受影响的加密文件进行了更改。最近，LockBit 2.0发布了一个更新，新增了加密保护的功能，使得未支付的赎金通知会自动推送至所有加密目录，同时提醒文件可能会在网络上发布。在这种情况下，LockBit 2.0将展示一幅勒索的桌面壁纸，而不再需要手动翻动。最近，墨西哥的金融机构接到了一份来自新马门的礼物——一份计划书。
991,Cisco Talos近期发现了具有间谍软件和后门功能的新版Neurevt木马。此版本的Neurevt似乎针对墨西哥金融机构的用户。发现的感染链通过一个经过混淆的PowerShell命令开始，该命令会绕过受感染端点的 PowerShell执行策略，然后创建一个新的Google Chrome网络客户端对象以连接到域saltoune[.]xyz下载Neurevt可执行文件。Neurevt将其他可执行文件、脚本和文件放入其在运行时创建的文件夹中。释放的有效载荷最终会在文件系统的适当位置运行，从而窃取服务令牌信息提升其特权。然后安装挂钩程序监控击键和鼠标输入事件，捕获监视器屏幕和剪贴板信息。此外， Neurevt还会检测虚拟化和调试器环境，禁用防火墙，修改受害者机器中的Internet代理设置以逃避检测和阻止分析。该恶意软件没有调用已知的API进行HTTP通信，而是使用System.Web命名空间，通过Nginx Web服务器启用与C2服务器的浏览器-服务器通信。漏洞相关01Adobe发布安全更新，修复其多款产品中的安全漏,"最近，一名 Cisco 安全专家发现了一种可能存在后门入侵的软件，即 Neurevt 木马。在此版本的Neurevt中，针对墨西哥金融机构的用户的体验进行了优化。要在PowerShell中感染并连接到域内的Google Chrome网络客户端，可以使用以下经过混淆的命令：
```java
saltoune.xyz
```
此命令将启动一个Google Chrome网络客户端对象，并允许你与域内的网络通信。可以在运行时将生成的其他文件和脚本存入当前目录。当你将服务令牌信息传送到服务端时，它将被存储在文件系统中，等待后续处理。在此示例中，我们演示了如何使用挂钩程序来捕获屏幕上的按键和鼠标输入事件，以及这些事件如何被记录在监视器中。据了解，Neurevt能够检测到虚拟化和调试器的存在，并对受害机器的Internet代理进行修改，以绕过检测和阻止分析。该恶意软件通过Nginx Web服务器与C2服务器进行通信，而没有调用已知的API进行HTTP通信。最近，Adobe发布了一篇安全更新，对旗下多款产品进行了安全加固。"
992,Adobe于8月17日发布安全更新，修复了Adobe Captivate、XMP Toolkit SDK、Photoshop、Bridge和Media Encoder中的多个安全漏洞。其中较为严重的是Adobe XMP Toolkit SDK中的任意代码执行漏洞(CVE-2021-36052和CVE-2021-36064)、Photoshop中的任意代码执行漏洞(CVE-2021-36065和CVE-2021-36066)，以及Adobe Bridge中的任意代码执行漏洞(CVE-2021-36078等)等漏洞。02攻击者通过ProxyShell漏洞针对Microsoft Exchange服务,最近，Adobe发布了安全更新，对Adobe Captivate、XMP Toolkit SDK、Photoshop、Bridge和Media Encoder进行了全面的安全加固。最近发现Adobe XMP Toolkit SDK中存在多个安全漏洞，包括CVE-2021-36052、CVE-2021-36064和CVE-2021-36066等，以及Photoshop中的任意代码执行漏洞和Adobe Bridge中的任意代码执行漏洞等。最近，一位攻击者利用ProxyShell漏洞对微软的Exchange服务进行了攻击。
993,国外研究人员发现，攻击者正在使用ProxyShell漏洞利用针对Microsoft Exchange服务器来安装后门。ProxyShell是一种攻击的名称，该攻击使用三个Microsoft Exchange漏洞来执行未经身份验证的远程代码执行。漏洞为：CVE-2021-34473(KB5001779于4月修补)、CVE-2021-34523(KB5001779于4月修补)、CVE-2021-31207(KB5003435于5月修补)。8月12日，Beaumont和NCC Group的漏洞研究员Rich Warren透露，攻击者已经利用ProxyShell漏洞针对Microsoft Exchange蜜罐。攻击者通过精心构造的初始访问URL将一个大小为265KB的Webshell内置进相关文件夹中。Webshell包含一个简单的受身份验证保护的脚本，攻击者可以使用该脚本上传其他WebShell和可执行文件到受感染的Microsoft Exchange服务器。上传的其中两个可执行文件为createhidetask.exe与ApplicationUpdate.exe。攻击者将使用Webshell启动createhidetask.exe，以创建一个名为PowerManager的计划任务，在凌晨1点启动ApplicationUpdate.exe可执行文件。ApplicationUpdate.exe可执行文件是后门的自定义.NET加载程序，其从远程服务器获取另一个.NET二进制文件。当前的有效载荷是良性的，但一旦足够多的服务器受到威胁，其就会被恶意有效载荷替换掉。目前发现通过美国、伊朗和荷兰的IP地址扫描易受ProxyShell攻击的设备,最近，一支国外的网络安全团队发现了一个名为“ProxyShell”的攻击工具，它能够在目标服务器上安装后门，对Microsoft Exchange服务器进行攻击。代理 shells在未经身份验证的情况下执行远程代码执行时被称为攻击者。最近一个月内，共发布了三个与CVE-2021-3473、CVE-2021-34523和CVE-2021-31207相关的漏洞警告。最近，一位名为Rich Warren的漏洞研究员发现，Beaumont和NCC Group的攻击者利用了ProxyShell漏洞，成功入侵了微软 Exchange的蜜罐。最近，一名攻击者通过编写一段隐藏的URL，成功入侵了名为“evil”的文件夹。在此情况下，攻击者可以利用一个被感染的Microsoft Exchange服务器上的简单脚本来上传其他WebShell和可执行文件。两个可执行文件分别是createhidetask.exe和ApplicationUpdate.exe，它们在上传时都会触发该事件。在当前时间点，一名攻击者正在使用WebShell启动了一个名为PowerManager的计划任务，并在凌晨1点时运行了ApplicationUpdate.exe的可执行文件。要在系统中安装一个新的.NET二进制文件，可以使用ApplicationUpdate.exe程序。该程序会向远程服务器发送请求，并在收到响应后执行相应的操作。在当前网络环境下，一台或多台服务器可以支持稳定的数据传输，但当面临大量数据涌入时，可能会出现拥塞现象，导致数据传输受到影响。最近，一名😉 学生发现他所在的国家和荷兰的 IP 地址在网络中容易受到 ProxyShell 攻击。
994,南亚地区的APT组织众多，且一直保持高度的活跃状态。360高级威胁研究院通过长时间的跟踪分析发现南亚地区各个组织间存在较密切的关联。南亚地区的APT组织主要攻击目标为东亚和南亚地区国家，涉及行业侧重国防和国家机构。攻击目的为窃密和收集情报，均以使用鱼叉邮件攻击为主要手段。其中Donot组织在恶意样本结构及代码方面分别与蔓灵花、摩诃草组织存在一定关联性。此外，其网络资产也显示出了明显的联系。研究人员首次观测到南亚地区组织使用了商业后门程序，与NSO等公司可能存在联系，这表明南亚地区组织已经开始从商业黑客公司中获取更强的攻击能力。02疑似kimsuky APT组织利用PDF漏洞进行攻击活,在南亚地区，Aptera组织的活动频繁，备受关注。在南亚地区，多个组织之间存在着密切的联系，这得到了专家的密切关注。南亚和东亚地区的国家在面临 寝食难安下开展了一项计划，以加强国防和机构的合作。利用😉邮件进行攻击，是黑客活动的主要方式之一。伴随😉的讨论，讨论了丹塔那和恩塔那两个组织在恶意样本方面的合作。该网站与社交媒体上的信息紧密相关，覆盖了各种新闻报道和社交媒体帖子。在南亚地区，商业公司通过开发商业后门程序获得了更强的攻击能力，这也意味着NSO等公司可能已经与这些公司建立了联系。最近，一家名为Aptera的公司利用PDF漏洞对目标进行攻击，成功入侵了目标系统。
995,"AhnLab研究人员捕获了7个PDF漏洞利用文件，疑似Kimsuky组织的新型攻击方式。文件内容包括<国会通过韩朝首脑会晤协定及实现朝鲜半岛和平体制的政策讨论相关内容>、<面试问卷-崔恩律>、<郑延峰管理创新理论视角下的国防改革方向修正>等。研究人员暂未确定攻击活动目标以及诱饵下发途径，推测此次文件为网络获取，用作初始阶段测试，文档执行后加载计算器程序也可佐证。此外，用于测试的C2域及访问模式与此前披露的Kimsuky组织武器相关，因此研究人员认为此次攻击活动""与东亚APT组织Kimsuky有关，也存在其他组织模仿作案的可能性。03APT29—觊觎全球情报的国家级黑客组织（中""",最近，一名研究人员发现了一些可能来自 kitsuky 组织的 PDF 漏洞，并将其分享给了其他专家。韩国和中国在加强朝鲜半岛和平问题上的政策讨论中，涉及了通过韩朝首脑会晤来实现和解，以及崔恩律管理创新理论对国防改革方向的修改。最近，一位研究人员发布了一份关于攻击活动的报告，但尚未确定攻击目标，以及如何向目标人群投放诱饵。据文档显示，这份报告是对网络获取的初步测试。此外，研究人员还在文档中添加了一个计算器程序，以供后续计算参考。最近，研究人员发现，东亚亚太地区的apt组织成员凯姆苏卡利也对攻击行为进行了调查，认为可能还有其他组织在模仿行为。加入该组织，你将能够掌握来自全球的信息流。
